Wavelength,Intensity
343.3,6
343.8,6
344.4,5
344.9,5
345.4,6
346.0,6
346.5,6
347.0,5
347.6,4
348.1,5
348.6,4
349.2,5
349.7,5
350.2,5
350.7,5
351.3,6
351.8,6
352.3,6
352.9,6
353.4,6
353.9,6
354.5,5
355.0,5
355.5,5
356.1,6
356.6,6
357.1,6
357.7,5
358.2,5
358.7,4
359.3,4
359.8,4
360.3,4
360.8,4
361.4,4
361.9,4
362.4,4
363.0,4
363.5,4
364.0,4
364.6,4
365.1,4
365.6,4
366.2,4
366.7,4
367.2,4
367.8,3
368.3,3
368.8,3
369.4,3
369.9,3
370.4,4
370.9,5
371.5,5
372.0,5
372.5,4
373.1,4
373.6,3
374.1,4
374.7,4
375.2,4
375.7,5
376.3,5
376.8,4
377.3,4
377.9,3
378.4,3
378.9,4
379.5,5
380.0,5
380.5,5
381.0,4
381.6,4
382.1,5
382.6,4
383.2,4
383.7,3
384.2,4
384.8,4
385.3,4
385.8,4
386.4,4
386.9,4
387.4,4
388.0,3
388.5,3
389.0,3
389.5,3
390.1,3
390.6,4
391.1,3
391.7,4
392.2,4
392.7,4
393.3,4
393.8,4
394.3,5
394.9,5
395.4,4
395.9,4
396.5,4
397.0,4
397.5,4
398.1,4
398.6,4
399.1,4
399.6,4
400.2,4
400.7,4
401.2,4
401.8,4
402.3,4
402.8,4
403.4,4
403.9,4
404.4,4
405.0,4
405.5,4
406.0,4
406.6,5
407.1,4
407.6,4
408.2,5
408.7,5
409.2,5
409.7,5
410.3,5
410.8,6
411.3,6
411.9,6
412.4,7
412.9,7
413.5,8
414.0,8
414.5,8
415.1,8
415.6,8
416.1,8
416.7,8
417.2,9
417.7,10
418.3,10
418.8,11
419.3,11
419.8,12
420.4,13
420.9,14
421.4,15
422.0,15
422.5,16
423.0,17
423.6,18
424.1,19
424.6,20
425.2,21
425.7,22
426.2,22
426.8,23
427.3,24
427.8,25
428.4,26
428.9,27
429.4,27
429.9,27
430.5,28
431.0,28
431.5,28
432.1,28
432.6,28
433.1,30
433.7,31
434.2,35
434.7,38
435.3,38
435.8,37
436.3,41
436.9,48
437.4,47
437.9,40
438.5,36
439.0,41
439.5,50
440.0,60
440.6,72
441.1,73
441.6,90
442.2,93
442.7,114
443.2,115
443.8,150
444.3,138
444.8,142
445.4,144
445.9,147
446.4,152
447.0,158
447.5,163
448.0,164
448.5,158
449.1,161
449.6,160
450.1,167
450.7,159
451.2,155
451.7,149
452.3,147
452.8,143
453.3,153
453.9,127
454.4,120
454.9,112
455.5,112
456.0,117
456.5,101
457.1,97
457.6,91
458.1,90
458.6,89
459.2,83
459.7,85
460.2,84
460.8,78
461.3,77
461.8,74
462.4,70
462.9,71
463.4,67
464.0,64
464.5,63
465.0,64
465.6,67
466.1,75
466.6,70
467.2,67
467.7,67
468.2,65
468.7,66
469.3,66
469.8,66
470.3,64
470.9,63
471.4,64
471.9,64
472.5,63
473.0,63
473.5,63
474.1,62
474.6,65
475.1,64
475.7,65
476.2,65
476.7,64
477.3,64
477.8,65
478.3,64
478.8,61
479.4,64
479.9,64
480.4,64
481.0,62
481.5,62
482.0,63
482.6,63
483.1,63
483.6,64
484.2,64
484.7,62
485.2,61
485.8,62
486.3,62
486.8,64
487.4,66
487.9,62
488.4,62
488.9,61
489.5,62
490.0,64
490.5,66
491.1,68
491.6,68
492.1,67
492.7,67
493.2,69
493.7,71
494.3,73
494.8,74
495.3,77
495.9,79
496.4,82
496.9,87
497.5,87
498.0,89
498.5,94
499.0,96
499.6,99
500.1,103
500.6,107
501.2,110
501.7,112
502.2,113
502.8,115
503.3,116
503.8,119
504.4,121
504.9,122
505.4,125
506.0,126
506.5,128
507.0,130
507.5,132
508.1,134
508.6,135
509.1,137
509.7,138
510.2,141
510.7,143
511.3,145
511.8,145
512.3,145
512.9,146
513.4,147
513.9,151
514.5,152
515.0,154
515.5,155
516.1,155
516.6,155
517.1,157
517.6,159
518.2,161
518.7,162
519.2,161
519.8,164
520.3,165
520.8,166
521.4,166
521.9,168
522.4,168
523.0,169
523.5,169
524.0,170
524.6,168
525.1,169
525.6,170
526.2,171
526.7,171
527.2,172
527.7,175
528.3,174
528.8,175
529.3,175
529.9,175
530.4,175
530.9,175
531.5,176
532.0,176
532.5,176
533.1,175
533.6,174
534.1,173
534.7,173
535.2,173
535.7,172
536.3,171
536.8,170
537.3,169
537.8,169
538.4,168
538.9,169
539.4,169
540.0,169
540.5,170
541.0,171
541.6,171
542.1,172
542.6,173
543.2,173
543.7,172
544.2,172
544.8,172
545.3,173
545.8,174
546.4,173
546.9,173
547.4,173
547.9,174
548.5,174
549.0,175
549.5,174
550.1,175
550.6,172
551.1,169
551.7,168
552.2,167
552.7,167
553.3,167
553.8,168
554.3,169
554.9,168
555.4,168
555.9,168
556.5,170
557.0,174
557.5,174
558.0,173
558.6,174
559.1,174
559.6,175
560.2,178
560.7,176
561.2,175
561.8,173
562.3,173
562.8,170
563.4,168
563.9,168
564.4,168
565.0,167
565.5,165
566.0,164
566.5,163
567.1,163
567.6,164
568.1,166
568.7,166
569.2,165
569.7,164
570.3,163
570.8,163
571.3,164
571.9,166
572.4,168
572.9,166
573.5,166
574.0,167
574.5,167
575.1,167
575.6,167
576.1,168
576.6,168
577.2,170
577.7,167
578.2,167
578.8,168
579.3,171
579.8,170
580.4,173
580.9,174
581.4,171
582.0,171
582.5,168
583.0,164
583.6,161
584.1,158
584.6,153
585.2,147
585.7,145
586.2,143
586.7,141
587.3,139
587.8,138
588.3,137
588.9,139
589.4,145
589.9,140
590.5,134
591.0,133
